image,1B_left,1B_right,2A_left,2A_right,2B_left,2B_right,3A_left,3A_right,3B_left,3B_right,4A_left,4A_right,4B_left,4B_right,5A_left,5A_right,5B_left,5B_right,6A_left,6A_right,6B_left,6B_right,7A_left,7A_right,7B_left,7B_right
390-U1556B-19R-1-Pc7-2x.BMP,,,1038,1133,8974,9131,,,,,,,,,,,,,,,,,,,,
390-U1556B-19R-1-Pc7-3x.BMP,,,,,,,1064,1174,,,,,,,,,,,,,,,,,,
390-U1556B-19R-2-Pc5-1x.BMP,7040,9572,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-19R-2-Pc5-2x.BMP,,,92,2602,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-19R-3-Pc6-1x.BMP,7906,8034,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-19R-3-Pc6-2x.BMP,,,1165,1253,9062,9238,,,,,,,,,,,,,,,,,,,,
390-U1556B-19R-3-Pc6-3x.BMP,,,,,,,1045,1203,9012,9173,,,,,,,,,,,,,,,,
390-U1556B-19R-3-Pc6-4x.BMP,,,,,,,,,,,4546,4668,,,,,,,,,,,,,,
390-U1556B-19R-4-Pc2-1x.BMP,7655,8707,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-19R-4-Pc2-2x.BMP,,,125,1177,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-19R-4-Pc6-1x.BMP,6888,8274,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-19R-4-Pc6-2x.BMP,,,150,1551,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-20R-1-Pc3-1x.BMP,7093,8607,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-20R-1-Pc3-2x.BMP,,,72,1552,8367,9331,,,,,,,,,,,,,,,,,,,,
390-U1556B-20R-1-Pc3-3x.BMP,,,,,,,150,1121,7367,9257,,,,,,,,,,,,,,,,
390-U1556B-20R-1-Pc3-4x.BMP,,,,,,,,,,,103,1991,,,,,,,,,,,,,,
390-U1556B-20R-2-Pc1-1x.BMP,7411,8459,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-20R-2-Pc1-2x.BMP,,,182,1222,8342,9643,,,,,,,,,,,,,,,,,,,,
